   Wavelength  Flux
   4022.900       2.129791    
   4023.800       2.137551    
   4024.700       2.145870    
   4025.600       2.142611    
   4026.500       2.135766    
   4027.400       2.139940    
   4028.300       2.134896    
   4029.200       2.115478    
   4030.100       2.110507    
   4031.000       2.121866    
   4031.900       2.129887    
   4032.800       2.128430    
   4033.700       2.129221    
   4034.600       2.138831    
   4035.500       2.147992    
   4036.400       2.148338    
   4037.300       2.145661    
   4038.200       2.146369    
   4039.100       2.141337    
   4040.000       2.132855    
   4040.900       2.131254    
   4041.800       2.134103    
   4042.700       2.131866    
   4043.600       2.113900    
   4044.500       2.076104    
   4045.400       2.042881    
   4046.300       2.051151    
   4047.200       2.086823    
   4048.100       2.106246    
   4049.000       2.109309    
   4049.900       2.112363    
   4050.800       2.112678    
   4051.700       2.107856    
   4052.600       2.093172    
   4053.500       2.079916    
   4054.400       2.082446    
   4055.300       2.087573    
   4056.200       2.082770    
   4057.100       2.077235    
   4058.000       2.076427    
   4058.900       2.077239    
   4059.800       2.080926    
   4060.700       2.077285    
   4061.600       2.052586    
   4062.500       2.013051    
   4063.400       1.988381    
   4064.300       1.996373    
   4065.200       2.020686    
   4066.100       2.036053    
   4067.000       2.037349    
   4067.900       2.035990    
   4068.800       2.039401    
   4069.700       2.030880    
   4070.600       1.992969    
   4071.500       1.951106    
   4072.400       1.948023    
   4073.300       1.970542    
   4074.200       1.976338    
   4075.100       1.958156    
   4076.000       1.919502    
   4076.900       1.868720    
   4077.800       1.844023    
   4078.700       1.860102    
   4079.600       1.883256    
   4080.500       1.882428    
   4081.400       1.860810    
   4082.300       1.834192    
   4083.200       1.807459    
   4084.100       1.780659    
   4085.000       1.754847    
   4085.900       1.728882    
   4086.800       1.702301    
   4087.700       1.673310    
   4088.600       1.639361    
   4089.500       1.600051    
   4090.400       1.557204    
   4091.300       1.513387    
   4092.200       1.466121    
   4093.100       1.415898    
   4094.000       1.361886    
   4094.900       1.300565    
   4095.800       1.232291    
   4096.700       1.157162    
   4097.600       1.071240    
   4098.500      0.9736529    
   4099.400      0.8545011    
   4100.300      0.7202293    
   4101.200      0.6211240    
   4102.100      0.6187344    
   4103.000      0.7114422    
   4103.900      0.8426774    
   4104.800      0.9612538    
   4105.700       1.058738    
   4106.600       1.142959    
   4107.500       1.221081    
   4108.400       1.286556    
   4109.300       1.342798    
